Date,Open,High,Low,Close,Adj Close,Volume
22/02/2000,112,113.4375,108.75,111,70.555779,7654800
23/02/2000,110.5,110.5,108.5,108.75,69.125572,7435300
24/02/2000,108.8125,111,108.1875,110.5,70.237961,9112000
25/02/2000,109.875,109.875,104.9375,108,68.648872,10312200
28/02/2000,104.625,106.5,103.9375,104.5,66.424118,8479900
29/02/2000,105.5625,105.5625,100.9375,102.75,65.311729,10484900
01/03/2000,102,105.5,100.0625,100.25,63.722679,10807800
02/03/2000,100.5,105.4375,99.5,103.125,65.550125,11192900
03/03/2000,107.25,110,106.0625,108,68.648872,10162800
06/03/2000,109.9375,111,101,103.0625,65.510406,10747400
07/03/2000,106,107,101.6875,103,65.47068,10035100
08/03/2000,103,106.875,102.75,106.25,67.536484,8376400
09/03/2000,106.5,108,104.125,108,68.648872,6334100
10/03/2000,107.625,109,105,105.25,66.900856,7093200
13/03/2000,104,109,102.5,107.6875,68.450188,7871000
14/03/2000,107.75,110,107.375,108.625,69.04615,7973700
15/03/2000,107.5,108.25,106.125,107,68.013206,5665900
16/03/2000,109,109.8125,107.875,109,69.284477,6622500
17/03/2000,108.25,111.6875,107.6875,110,69.920135,8857300
20/03/2000,110,113.375,109.9375,112.75,71.668137,6563500
21/03/2000,112.8125,114.6875,111.9375,113.5,72.144859,6771600
22/03/2000,114.5,115.375,113.875,114.25,72.62159,6137800
23/03/2000,115.875,115.875,111.625,115.25,73.257202,6492400
24/03/2000,115.375,122.25,115.0625,120.625,76.673759,12125600
27/03/2000,125,128.25,124.625,126.875,80.646484,11862900
28/03/2000,125.75,127,122.0625,122.5,77.865578,8149600
29/03/2000,122.3125,122.4375,118.5,119,75.640854,7312300
30/03/2000,118.875,123,118.6875,122.75,78.024475,9158000
31/03/2000,122.625,123.75,117.0625,118.375,75.243561,8015200
03/04/2000,120,122.375,119.4375,122,77.547752,7715600
04/04/2000,121.5,126.9375,115.0625,121.1875,77.031311,16667200
05/04/2000,120.5,125.75,119.75,125,79.454697,8693500
06/04/2000,123.5,128,122.625,122.75,78.024475,8887400
07/04/2000,123.5,125.6875,121.5,123.125,78.26284,5380300
10/04/2000,124.75,125.375,121.5625,122.125,77.627251,5507300
11/04/2000,121.625,121.625,117.8125,119.375,75.879242,7738700
12/04/2000,119.625,119.625,111.6875,113.75,72.303772,8885200
13/04/2000,112.5,114.3125,110,110.625,70.317406,8236400
14/04/2000,109.8125,112.75,102.875,105,66.741943,11782000
17/04/2000,103.875,112.25,103.3125,111.875,71.111931,9969500
18/04/2000,112.25,115.125,110.0625,111.5,70.873589,8205500
19/04/2000,109.75,109.75,102.8125,105,66.741943,14674500
20/04/2000,105,105.25,102.0625,104,66.106308,10633300
24/04/2000,102,107.1875,101.25,106.5,67.695412,8523100
25/04/2000,106.5,113,106.4375,112.5,71.509232,9576400
26/04/2000,112.5,113.9375,109,110.5,70.237961,6182800
27/04/2000,109.5,113.125,108.6875,110.625,70.317406,6317500
28/04/2000,112,112.6875,110.125,111.5,70.873589,4888600
